"HH7_region","country_orig","name_orig","country_matched","NAME_1_matched","NAME_2_matched","NAME_3_matched","NAME_4_matched","NAME_1_matched_fuzz","NAME_2_matched_fuzz","NAME_3_matched_fuzz","NAME_4_matched_fuzz"
"NICKERIE","Suriname","Nickerie","Suriname","Nickerie",NA,NA,NA,NA,NA,NA,NA
"Niger","Nigeria","Niger","Nigeria","Niger",NA,NA,NA,NA,NA,NA,NA
"NORTHERN","Ghana","Northern","Ghana","Northern",NA,NA,NA,NA,NA,NA,NA
"Ogun","Nigeria","Ogun","Nigeria","Ogun",NA,NA,NA,NA,NA,NA,NA
"Oio","Guinea-Bissau","Oio","Guinea-Bissau","Oio",NA,NA,NA,NA,NA,NA,NA
"Ondo","Nigeria","Ondo","Nigeria","Ondo",NA,NA,NA,NA,NA,NA,NA
"Osun","Nigeria","Osun","Nigeria","Osun",NA,NA,NA,NA,NA,NA,NA
"Oyo","Nigeria","Oyo","Nigeria","Oyo",NA,NA,NA,NA,NA,NA,NA
"PARA","Suriname","Para","Suriname","Para",NA,NA,NA,NA,NA,NA,NA
"PARAMARIBO","Suriname","Paramaribo","Suriname","Paramaribo",NA,NA,NA,NA,NA,NA,NA
"Plateau","Nigeria","Plateau","Nigeria","Plateau",NA,NA,NA,NA,NA,NA,NA
"PLATEAUX","Republic of Congo","Plateaux","Republic of Congo","Plateaux",NA,NA,NA,NA,NA,NA,NA
"Plateaux","Togo","Plateaux","Togo","Plateaux",NA,NA,NA,NA,NA,NA,NA
"POOL","Republic of Congo","Pool","Republic of Congo","Pool",NA,NA,NA,NA,NA,NA,NA
"PRIZREN","Kosovo","Prizren","Kosovo","Prizren",NA,NA,NA,NA,NA,NA,NA
"Quinara","Guinea-Bissau","Quinara","Guinea-Bissau","Quinara",NA,NA,NA,NA,NA,NA,NA
"QUTHING","Lesotho","Quthing","Lesotho","Quthing",NA,NA,NA,NA,NA,NA,NA
"Rajshahi","Bangladesh","Rajshahi","Bangladesh","Rajshahi",NA,NA,NA,NA,NA,NA,NA
"Rangpur","Bangladesh","Rangpur","Bangladesh","Rangpur",NA,NA,NA,NA,NA,NA,NA
"Rivers","Nigeria","Rivers","Nigeria","Rivers",NA,NA,NA,NA,NA,NA,NA
"SAMEGRELO ZEMO SVANETI","Georgia","Samegrelo-Zemo Svaneti","Georgia","Samegrelo-Zemo Svaneti",NA,NA,NA,NA,NA,NA,NA
"SAMTSKHE JAVAKHETI","Georgia","Samtskhe-Javakheti","Georgia","Samtskhe-Javakheti",NA,NA,NA,NA,NA,NA,NA
"San Pedro","Paraguay","San Pedro","Paraguay","San Pedro",NA,NA,NA,NA,NA,NA,NA
"SANGHA","Republic of Congo","Sangha","Republic of Congo","Sangha",NA,NA,NA,NA,NA,NA,NA
"SARAMACCA","Suriname","Saramacca","Suriname","Saramacca",NA,NA,NA,NA,NA,NA,NA
"Savanes","Togo","Savanes","Togo","Savanes",NA,NA,NA,NA,NA,NA,NA
"SHIDA KARTLI","Georgia","Shida Kartli","Georgia","Shida Kartli",NA,NA,NA,NA,NA,NA,NA
"SIPALIWINI","Suriname","Sipaliwini","Suriname","Sipaliwini",NA,NA,NA,NA,NA,NA,NA
"Sokoto","Nigeria","Sokoto","Nigeria","Sokoto",NA,NA,NA,NA,NA,NA,NA
"Sylhet","Bangladesh","Sylhet","Bangladesh","Sylhet",NA,NA,NA,NA,NA,NA,NA
"Taraba","Nigeria","Taraba","Nigeria","Taraba",NA,NA,NA,NA,NA,NA,NA
"TBILISI","Georgia","Tbilisi","Georgia","Tbilisi",NA,NA,NA,NA,NA,NA,NA
"THABA TSEKA","Lesotho","Thaba-Tseka","Lesotho","Thaba-Tseka",NA,NA,NA,NA,NA,NA,NA
"Tombali","Guinea-Bissau","Tombali","Guinea-Bissau","Tombali",NA,NA,NA,NA,NA,NA,NA
"TONGATAPU","Tonga","Tongatapu","Tonga","Tongatapu",NA,NA,NA,NA,NA,NA,NA
"Ulaanbaatar","Mongolia","Ulaanbaatar","Mongolia","Ulaanbaatar",NA,NA,NA,NA,NA,NA,NA
"UPPER EAST","Ghana","Upper East","Ghana","Upper East",NA,NA,NA,NA,NA,NA,NA
"UPPER WEST","Ghana","Upper West","Ghana","Upper West",NA,NA,NA,NA,NA,NA,NA
"VAVA U","Tonga","Vava'u","Tonga","Vava'u",NA,NA,NA,NA,NA,NA,NA
"VOLTA","Ghana","Volta","Ghana","Volta",NA,NA,NA,NA,NA,NA,NA
"WANICA","Suriname","Wanica","Suriname","Wanica",NA,NA,NA,NA,NA,NA,NA
"WASIT","Iraq","Wasit","Iraq","Wasit",NA,NA,NA,NA,NA,NA,NA
"WESTERN","Ghana","Western","Ghana","Western",NA,NA,NA,NA,NA,NA,NA
"Yobe","Nigeria","Yobe","Nigeria","Yobe",NA,NA,NA,NA,NA,NA,NA
"Zamfara","Nigeria","Zamfara","Nigeria","Zamfara",NA,NA,NA,NA,NA,NA,NA
"ANALAMANGA","Madagascar","Analamanga","Madagascar",NA,"Analamanga",NA,NA,NA,NA,NA,NA
"ANALANJIROFO","Madagascar","Analanjirofo","Madagascar",NA,"Analanjirofo",NA,NA,NA,NA,NA,NA
"ANDROY","Madagascar","Androy","Madagascar",NA,"Androy",NA,NA,NA,NA,NA,NA
"ANOSY","Madagascar","Anosy","Madagascar",NA,"Anosy",NA,NA,NA,NA,NA,NA
"ATSINANANA","Madagascar","Atsinanana","Madagascar",NA,"Atsinanana",NA,NA,NA,NA,NA,NA
"Bagerhat","Bangladesh","Bagerhat","Bangladesh",NA,"Bagerhat",NA,NA,NA,NA,NA,NA
"Bandarban","Bangladesh","Bandarban","Bangladesh",NA,"Bandarban",NA,NA,NA,NA,NA,NA
"Banjul","Gambia","Banjul","Gambia",NA,"Banjul",NA,NA,NA,NA,NA,NA
"Barguna","Bangladesh","Barguna","Bangladesh",NA,"Barguna",NA,NA,NA,NA,NA,NA
"BASRAH","Iraq","Basrah","Iraq",NA,"Basrah",NA,NA,NA,NA,NA,NA
"Bauchi","Nigeria","Bauchi","Nigeria",NA,"Bauchi",NA,NA,NA,NA,NA,NA
"BETSIBOKA","Madagascar","Betsiboka","Madagascar",NA,"Betsiboka",NA,NA,NA,NA,NA,NA
"Bhola","Bangladesh","Bhola","Bangladesh",NA,"Bhola",NA,NA,NA,NA,NA,NA
"BOENY","Madagascar","Boeny","Madagascar",NA,"Boeny",NA,NA,NA,NA,NA,NA
"BONGOLAVA","Madagascar","Bongolava","Madagascar",NA,"Bongolava",NA,NA,NA,NA,NA,NA
"BRAZZAVILLE","Republic of Congo","Brazzaville","Republic of Congo",NA,"Brazzaville",NA,NA,NA,NA,NA,NA
"Bulawayo","Zimbabwe","Bulawayo","Zimbabwe",NA,"Bulawayo",NA,NA,NA,NA,NA,NA
"Cacheu","Guinea-Bissau","Cacheu","Guinea-Bissau",NA,"Cacheu",NA,NA,NA,NA,NA,NA
"Chandpur","Bangladesh","Chandpur","Bangladesh",NA,"Chandpur",NA,NA,NA,NA,NA,NA
"Chuadanga","Bangladesh","Chuadanga","Bangladesh",NA,"Chuadanga",NA,NA,NA,NA,NA,NA
"Dhaka","Bangladesh","Dhaka","Bangladesh",NA,"Dhaka",NA,NA,NA,NA,NA,NA
"DIANA","Madagascar","Diana","Madagascar",NA,"Diana",NA,NA,NA,NA,NA,NA
"Dinajpur","Bangladesh","Dinajpur","Bangladesh",NA,"Dinajpur",NA,NA,NA,NA,NA,NA
"Ebonyi","Nigeria","Ebonyi","Nigeria",NA,"Ebonyi",NA,NA,NA,NA,NA,NA
"Ekiti","Nigeria","Ekiti","Nigeria",NA,"Ekiti",NA,NA,NA,NA,NA,NA
"Faridpur","Bangladesh","Faridpur","Bangladesh",NA,"Faridpur",NA,NA,NA,NA,NA,NA
"Feni","Bangladesh","Feni","Bangladesh",NA,"Feni",NA,NA,NA,NA,NA,NA
"Gaibandha","Bangladesh","Gaibandha","Bangladesh",NA,"Gaibandha",NA,NA,NA,NA,NA,NA
"Gazipur","Bangladesh","Gazipur","Bangladesh",NA,"Gazipur",NA,NA,NA,NA,NA,NA
"Gombe","Nigeria","Gombe","Nigeria",NA,"Gombe",NA,NA,NA,NA,NA,NA
"Gopalganj","Bangladesh","Gopalganj","Bangladesh",NA,"Gopalganj",NA,NA,NA,NA,NA,NA
"Habiganj","Bangladesh","Habiganj","Bangladesh",NA,"Habiganj",NA,NA,NA,NA,NA,NA
"Harare","Zimbabwe","Harare","Zimbabwe",NA,"Harare",NA,NA,NA,NA,NA,NA
"IHOROMBE","Madagascar","Ihorombe","Madagascar",NA,"Ihorombe",NA,NA,NA,NA,NA,NA
"ITASY","Madagascar","Itasy","Madagascar",NA,"Itasy",NA,NA,NA,NA,NA,NA
"Jamalpur","Bangladesh","Jamalpur","Bangladesh",NA,"Jamalpur",NA,NA,NA,NA,NA,NA
"Janjanbureh","Gambia","Janjanbureh","Gambia",NA,"Janjanbureh",NA,NA,NA,NA,NA,NA
"Jhalokati","Bangladesh","Jhalokati","Bangladesh",NA,"Jhalokati",NA,NA,NA,NA,NA,NA
"Jhenaidah","Bangladesh","Jhenaidah","Bangladesh",NA,"Jhenaidah",NA,NA,NA,NA,NA,NA
"Joypurhat","Bangladesh","Joypurhat","Bangladesh",NA,"Joypurhat",NA,NA,NA,NA,NA,NA
"Kanifing","Gambia","Kanifing","Gambia",NA,"Kanifing",NA,NA,NA,NA,NA,NA
"Kano","Nigeria","Kano","Nigeria",NA,"Kano",NA,NA,NA,NA,NA,NA
"Khagrachhari","Bangladesh","Khagrachhari","Bangladesh",NA,"Khagrachhari",NA,NA,NA,NA,NA,NA
"Khangai","Mongolia","Khangai","Mongolia",NA,"Khangai",NA,NA,NA,NA,NA,NA
"Khulna","Bangladesh","Khulna","Bangladesh",NA,"Khulna",NA,NA,NA,NA,NA,NA
"KIRKUK","Iraq","Kirkuk","Iraq",NA,"Kirkuk",NA,NA,NA,NA,NA,NA
"Kurigram","Bangladesh","Kurigram","Bangladesh",NA,"Kurigram",NA,NA,NA,NA,NA,NA
"Kushtia","Bangladesh","Kushtia","Bangladesh",NA,"Kushtia",NA,NA,NA,NA,NA,NA
"Lakshmipur","Bangladesh","Lakshmipur","Bangladesh",NA,"Lakshmipur",NA,NA,NA,NA,NA,NA
"Lalmonirhat","Bangladesh","Lalmonirhat","Bangladesh",NA,"Lalmonirhat",NA,NA,NA,NA,NA,NA
"Madaripur","Bangladesh","Madaripur","Bangladesh",NA,"Madaripur",NA,NA,NA,NA,NA,NA
"Magura","Bangladesh","Magura","Bangladesh",NA,"Magura",NA,NA,NA,NA,NA,NA
"Manikganj","Bangladesh","Manikganj","Bangladesh",NA,"Manikganj",NA,NA,NA,NA,NA,NA
"Masvingo","Zimbabwe","Masvingo","Zimbabwe",NA,"Masvingo",NA,NA,NA,NA,NA,NA
"Maulvibazar","Bangladesh","Maulvibazar","Bangladesh",NA,"Maulvibazar",NA,NA,NA,NA,NA,NA
"Meherpur","Bangladesh","Meherpur","Bangladesh",NA,"Meherpur",NA,NA,NA,NA,NA,NA
"MELAKY","Madagascar","Melaky","Madagascar",NA,"Melaky",NA,NA,NA,NA,NA,NA
"MENABE","Madagascar","Menabe","Madagascar",NA,"Menabe",NA,NA,NA,NA,NA,NA
"Munshiganj","Bangladesh","Munshiganj","Bangladesh",NA,"Munshiganj",NA,NA,NA,NA,NA,NA
"Mymensingh","Bangladesh","Mymensingh","Bangladesh",NA,"Mymensingh",NA,NA,NA,NA,NA,NA
"NAJAF","Iraq","Najaf","Iraq",NA,"Najaf",NA,NA,NA,NA,NA,NA
"Naogaon","Bangladesh","Naogaon","Bangladesh",NA,"Naogaon",NA,NA,NA,NA,NA,NA
"Narail","Bangladesh","Narail","Bangladesh",NA,"Narail",NA,NA,NA,NA,NA,NA
"Narsingdi","Bangladesh","Narsingdi","Bangladesh",NA,"Narsingdi",NA,NA,NA,NA,NA,NA
"Nasarawa","Nigeria","Nasarawa","Nigeria",NA,"Nasarawa",NA,NA,NA,NA,NA,NA
"Natore","Bangladesh","Natore","Bangladesh",NA,"Natore",NA,NA,NA,NA,NA,NA
"Nilphamari","Bangladesh","Nilphamari","Bangladesh",NA,"Nilphamari",NA,NA,NA,NA,NA,NA
"Noakhali","Bangladesh","Noakhali","Bangladesh",NA,"Noakhali",NA,NA,NA,NA,NA,NA
"Pabna","Bangladesh","Pabna","Bangladesh",NA,"Pabna",NA,NA,NA,NA,NA,NA
"Panchagarh","Bangladesh","Panchagarh","Bangladesh",NA,"Panchagarh",NA,NA,NA,NA,NA,NA
"Patuakhali","Bangladesh","Patuakhali","Bangladesh",NA,"Patuakhali",NA,NA,NA,NA,NA,NA
"Pirojpur","Bangladesh","Pirojpur","Bangladesh",NA,"Pirojpur",NA,NA,NA,NA,NA,NA
"PRIZREN","Kosovo","Prizren","Kosovo",NA,"Prizren",NA,NA,NA,NA,NA,NA
"Rajbari","Bangladesh","Rajbari","Bangladesh",NA,"Rajbari",NA,NA,NA,NA,NA,NA
"Rajshahi","Bangladesh","Rajshahi","Bangladesh",NA,"Rajshahi",NA,NA,NA,NA,NA,NA
"Rangamati","Bangladesh","Rangamati","Bangladesh",NA,"Rangamati",NA,NA,NA,NA,NA,NA
"Rangpur","Bangladesh","Rangpur","Bangladesh",NA,"Rangpur",NA,NA,NA,NA,NA,NA
"Satkhira","Bangladesh","Satkhira","Bangladesh",NA,"Satkhira",NA,NA,NA,NA,NA,NA
"SAVA","Madagascar","Sava","Madagascar",NA,"Sava",NA,NA,NA,NA,NA,NA
"Shariatpur","Bangladesh","Shariatpur","Bangladesh",NA,"Shariatpur",NA,NA,NA,NA,NA,NA
"Sherpur","Bangladesh","Sherpur","Bangladesh",NA,"Sherpur",NA,NA,NA,NA,NA,NA
"Sirajganj","Bangladesh","Sirajganj","Bangladesh",NA,"Sirajganj",NA,NA,NA,NA,NA,NA
"SOFIA","Madagascar","Sofia","Madagascar",NA,"Sofia",NA,NA,NA,NA,NA,NA
"Sunamganj","Bangladesh","Sunamganj","Bangladesh",NA,"Sunamganj",NA,NA,NA,NA,NA,NA
"Sylhet","Bangladesh","Sylhet","Bangladesh",NA,"Sylhet",NA,NA,NA,NA,NA,NA
"Tangail","Bangladesh","Tangail","Bangladesh",NA,"Tangail",NA,NA,NA,NA,NA,NA
"TBILISI","Georgia","Tbilisi","Georgia",NA,"Tbilisi",NA,NA,NA,NA,NA,NA
"Thakurgaon","Bangladesh","Thakurgaon","Bangladesh",NA,"Thakurgaon",NA,NA,NA,NA,NA,NA
"VAKINANKARATRA","Madagascar","Vakinankaratra","Madagascar",NA,"Vakinankaratra",NA,NA,NA,NA,NA,NA
"VATOVAVY FITOVINANY","Madagascar","Vatovavy Fitovinany","Madagascar",NA,"Vatovavy Fitovinany",NA,NA,NA,NA,NA,NA
"Faridpur","Bangladesh","Faridpur","Bangladesh",NA,NA,"Faridpur",NA,NA,NA,NA,NA
"Sherpur","Bangladesh","Sherpur","Bangladesh",NA,NA,"Sherpur",NA,NA,NA,NA,NA
"Central Hill","Nepal","Kathmandu","Nepal",NA,NA,"Kathmandu",NA,NA,NA,NA,NA
"Central Hill","Nepal","Makwanpur","Nepal",NA,NA,"Makwanpur",NA,NA,NA,NA,NA
"Central Hill","Nepal","Dhading","Nepal",NA,NA,"Dhading",NA,NA,NA,NA,NA
"Central Hill","Nepal","Lalitpur","Nepal",NA,NA,"Lalitpur",NA,NA,NA,NA,NA
"Central Hill","Nepal","Ramechhap","Nepal",NA,NA,"Ramechhap",NA,NA,NA,NA,NA
"Central Hill","Nepal","Sindhuli","Nepal",NA,NA,"Sindhuli",NA,NA,NA,NA,NA
"Central Hill","Nepal","Kavrepalanchok","Nepal",NA,NA,"Kavrepalanchok",NA,NA,NA,NA,NA
"Central Hill","Nepal","Bhaktapur","Nepal",NA,NA,"Bhaktapur",NA,NA,NA,NA,NA
"Central Hill","Nepal","Nuwakot","Nepal",NA,NA,"Nuwakot",NA,NA,NA,NA,NA
"Central Mountain","Nepal","Sindhupalchok","Nepal",NA,NA,"Sindhupalchok",NA,NA,NA,NA,NA
"Central Mountain","Nepal","Dolakha","Nepal",NA,NA,"Dolakha",NA,NA,NA,NA,NA
"Central Mountain","Nepal","Rasuwa","Nepal",NA,NA,"Rasuwa",NA,NA,NA,NA,NA
"Central Terai","Nepal","Dhanusa","Nepal",NA,NA,"Dhanusa",NA,NA,NA,NA,NA
"Central Terai","Nepal","Rautahat","Nepal",NA,NA,"Rautahat",NA,NA,NA,NA,NA
"Central Terai","Nepal","Mahottari","Nepal",NA,NA,"Mahottari",NA,NA,NA,NA,NA
"Central Terai","Nepal","Parsa","Nepal",NA,NA,"Parsa",NA,NA,NA,NA,NA
"Central Terai","Nepal","Chitawan","Nepal",NA,NA,"Chitawan",NA,NA,NA,NA,NA
"Central Terai","Nepal","Sarlahi","Nepal",NA,NA,"Sarlahi",NA,NA,NA,NA,NA
"Central Terai","Nepal","Bara","Nepal",NA,NA,"Bara",NA,NA,NA,NA,NA
"Eastern Hill","Nepal","Ilam","Nepal",NA,NA,"Ilam",NA,NA,NA,NA,NA
"Eastern Hill","Nepal","Khotang","Nepal",NA,NA,"Khotang",NA,NA,NA,NA,NA
"Eastern Hill","Nepal","Udayapur","Nepal",NA,NA,"Udayapur",NA,NA,NA,NA,NA
"Eastern Hill","Nepal","Dhankuta","Nepal",NA,NA,"Dhankuta",NA,NA,NA,NA,NA
"Eastern Hill","Nepal","Terhathum","Nepal",NA,NA,"Terhathum",NA,NA,NA,NA,NA
"Eastern Hill","Nepal","Panchthar","Nepal",NA,NA,"Panchthar",NA,NA,NA,NA,NA
"Eastern Hill","Nepal","Okhaldhunga","Nepal",NA,NA,"Okhaldhunga",NA,NA,NA,NA,NA
"Eastern Hill","Nepal","Bhojpur","Nepal",NA,NA,"Bhojpur",NA,NA,NA,NA,NA
"Eastern Mountain","Nepal","Sankhuwasabha","Nepal",NA,NA,"Sankhuwasabha",NA,NA,NA,NA,NA
"Eastern Mountain","Nepal","Solukhumbu","Nepal",NA,NA,"Solukhumbu",NA,NA,NA,NA,NA
"Eastern Mountain","Nepal","Taplejung","Nepal",NA,NA,"Taplejung",NA,NA,NA,NA,NA
"Eastern Terai","Nepal","Morang","Nepal",NA,NA,"Morang",NA,NA,NA,NA,NA
"Eastern Terai","Nepal","Saptari","Nepal",NA,NA,"Saptari",NA,NA,NA,NA,NA
"Eastern Terai","Nepal","Siraha","Nepal",NA,NA,"Siraha",NA,NA,NA,NA,NA
"Eastern Terai","Nepal","Sunsari","Nepal",NA,NA,"Sunsari",NA,NA,NA,NA,NA
"Eastern Terai","Nepal","Jhapa","Nepal",NA,NA,"Jhapa",NA,NA,NA,NA,NA
"Far Western Hill","Nepal","Baitadi","Nepal",NA,NA,"Baitadi",NA,NA,NA,NA,NA
"Far Western Hill","Nepal","Doti","Nepal",NA,NA,"Doti",NA,NA,NA,NA,NA
"Far Western Hill","Nepal","Achham","Nepal",NA,NA,"Achham",NA,NA,NA,NA,NA
"Far Western Hill","Nepal","Dadeldhura","Nepal",NA,NA,"Dadeldhura",NA,NA,NA,NA,NA
"Far Western Mountain","Nepal","Bajura","Nepal",NA,NA,"Bajura",NA,NA,NA,NA,NA
"Far Western Mountain","Nepal","Bajhang","Nepal",NA,NA,"Bajhang",NA,NA,NA,NA,NA
"Far Western Mountain","Nepal","Darchula","Nepal",NA,NA,"Darchula",NA,NA,NA,NA,NA
"Far WesternTerai","Nepal","Kailali","Nepal",NA,NA,"Kailali",NA,NA,NA,NA,NA
"Far WesternTerai","Nepal","Kanchanpur","Nepal",NA,NA,"Kanchanpur",NA,NA,NA,NA,NA
"MId Western Hill","Nepal","Salyan","Nepal",NA,NA,"Salyan",NA,NA,NA,NA,NA
"MId Western Hill","Nepal","Surkhet","Nepal",NA,NA,"Surkhet",NA,NA,NA,NA,NA
"MId Western Hill","Nepal","Rukum","Nepal",NA,NA,"Rukum",NA,NA,NA,NA,NA
"MId Western Hill","Nepal","Pyuthan","Nepal",NA,NA,"Pyuthan",NA,NA,NA,NA,NA
"MId Western Hill","Nepal","Rolpa","Nepal",NA,NA,"Rolpa",NA,NA,NA,NA,NA
