HH7_region,country_orig,matched_name1,matched_name2,matched_name3,matched_name123,NAME_0,NAME_1,NAME_12,NAME_2,NAME_3,Abs_Lat,CGIAR_Aridity_Index,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Isothermality,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Mean_Diurnal_Range,CHELSA_BIO_Mean_Temperature_of_Coldest_Quarter,CHELSA_BIO_Mean_Temperature_of_Driest_Quarter,CHELSA_BIO_Mean_Temperature_of_Warmest_Quarter,CHELSA_BIO_Mean_Temperature_of_Wettest_Quarter,CHELSA_BIO_Min_Temperature_of_Coldest_Month,CHELSA_BIO_Precipitation_Seasonality,CHELSA_BIO_Precipitation_of_Coldest_Quarter,CHELSA_BIO_Precipitation_of_Driest_Month,CHELSA_BIO_Precipitation_of_Driest_Quarter,CHELSA_BIO_Precipitation_of_Warmest_Quarter,CHELSA_BIO_Precipitation_of_Wettest_Month,CHELSA_BIO_Precipitation_of_Wettest_Quarter,CHELSA_BIO_Temperature_Annual_Range,CHELSA_BIO_Temperature_Seasonality,CIFOR_TropicalPeatlandDepth,CIFOR_TropicalPeatlandExtent,CMS_HeterotrophicRespiration_usingEquationFromBondLamberty2004,CMS_HeterotrophicRespiration_usingEquationFromSubke2006,CMS_SoilRespiration_mean,CSP_Global_Human_Modification,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Cultivated_and_Managed_Vegetation,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Open_Water,ConsensusLandCoverClass_Regularly_Flooded_Vegetation,ConsensusLandCoverClass_Shrubs,ConsensusLandCoverClass_Snow_Ice,ConsensusLandCoverClass_Urban_Builtup,ConsensusLandCover_Human_Development_Percentage,CrowtherLab_Tree_Density,EarthEnvCloudCover_CloudForestPrediction,EarthEnvCloudCover_Mean,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Contrast_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Dissimilarity_EVI,EarthEnvTexture_Entropy_EVI,EarthEnvTexture_Evenness_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTexture_Maximum_EVI,EarthEnvTexture_Range_EVI,EarthEnvTexture_Shannon_Index,EarthEnvTexture_Simpson_Index,EarthEnvTexture_Std_EVI,EarthEnvTexture_Uniformity_EVI,EarthEnvTexture_Variance_EVI,EarthEnvTopoMed_1stOrderPartialDerivEW,EarthEnvTopoMed_1stOrderPartialDerivNS,EarthEnvTopoMed_2ndOrderPartialDerivEW,EarthEnvTopoMed_2ndOrderPartialDerivNS,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Eastness,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Northness,EarthEnvTopoMed_ProfileCurvature,EarthEnvTopoMed_Roughness,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TangentialCurvature,EarthEnvTopoMed_TerrainRuggednessIndex,EarthEnvTopoMed_TopoPositionIndex,EarthEnvTopoMed_VectorRuggednessMeasure,EsaCci_BurntAreasProbability,FanEtAl_Depth_to_Water_Table_AnnualMean,FanEtAl_Depth_to_Water_Table_AnnualSD,GHS_Population_Density,GLW3_RuminantsDistribution_downsampled10km,GPWv4_Population_Density,GiriEtAl_MangrovesExtent,GoshEtAl_GlobalGDP2006,IPCC_Global_Biomass,MODIS_EVI,MODIS_FPAR,MODIS_GPP,MODIS_LAI,MODIS_NDVI,MODIS_NPP,MODIS_Nadir_Reflectance_Band1,MODIS_Nadir_Reflectance_Band2,MODIS_Nadir_Reflectance_Band3,MODIS_Nadir_Reflectance_Band4,MODIS_Nadir_Reflectance_Band5,MODIS_Nadir_Reflectance_Band6,MODIS_Nadir_Reflectance_Band7,NASA_ForestCanopyHeight,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,Resolve_Biome,Resolve_Ecoregion,SG_Absolute_depth_to_bedrock,SG_Bulk_density_015cm,SG_CEC_015cm,SG_Clay_Content_015cm,SG_Coarse_fragments_015cm,SG_Depth_to_bedrock,SG_H2O_Capacity_015cm,SG_SOC_Content_015cm,SG_SOC_Density_015cm,SG_SOC_Stock_005cm_to_015cm,SG_Saturated_H2O_Content_015cm,SG_Silt_Content_015cm,SG_Soil_H2O_Capacity_pF_20_015cm,SG_Soil_pH_H2O_015cm,SpawnEtAl_HarmonizedAGBiomass,SpawnEtAl_HarmonizedBGBiomass,TootchiEtAl_WetlandsRegularlyFlooded,UNEP_WCMC_Biomass,WCS_Human_Footprint_2009,WWF_Biome,WWF_Ecoregion
Tombali,GuineaBissau,Tombali,,,Tombali,Guinea-Bissau,Tombali,,,,11.33007236,11068.08057,2094.351145,270.6753504,2005.71632,-2133.673749,352.9908132,-2642.141041,259.3360719,268.8544632,287.4714682,259.4964355,203.2688781,126.3656357,1390.977659,0.147425555,0.494577599,80.97827499,580.6394537,1648.34221,-2581.778057,-1691.380635,0.713027482,0.191074282,482.5866869,485.1507227,896.6272024,0.343204763,0.158290631,27.65956773,5.121288564,26.01395866,0.027878267,0.261548069,28.48516623,3.167976724,7.460236046,1.677821174,0.001468245,0,27.65956773,27870.13272,4.43E-07,5303.981081,920.6783754,303149.3765,2389.500958,37658.13263,27236.60983,9384.409818,2877.435005,1192.378048,1506.779658,20482.76289,8451.65963,440.4169751,749.6287075,236557.2148,-0.000524215,2.38E-05,3.07E-06,2.87E-06,0.003728603,-0.040775037,-0.023084517,23.29006442,-0.00081718,-7.64E-07,10.36746429,0.822228155,4.97E-06,3.346745031,0.066073858,8.50E-05,0.66295362,3.830699661,1.392793584,2.021906446,1843.620725,34.59750572,0.22844921,0.015976312,14187.89711,3549.188026,47.49957044,14492.19915,16.1723063,5787.287805,4415.019181,643.9381015,2585.412916,348.5434414,677.3009227,2773.428309,1922.66898,973.0448824,11.07064476,23.65541639,14,113,7176.802721,996.9405339,16.65703225,26.58798897,21.79289686,177.2966953,21.43854102,32.19439404,303.4974364,29.9854179,54.95923167,17.71864118,18.36840665,50.33634914,22.53237507,9.32655434,0.531635303,42.97678313,6.598421159,14,31403
BARIMA-WAINI,Guyana,Barima-Waini,,,Barima-Waini,Guyana,Barima-Waini,,,,7.619162481,12098.03335,1665.133389,252.2773466,2468.724999,-1977.662145,302.0452977,-2665.141688,243.090578,248.6628693,260.0070718,252.5717679,214.59951,37.0218393,629.5746068,91.91791204,300.8769911,434.7408531,336.5114143,973.4301743,-2644.054214,-2154.852867,1.085560651,0.192704235,705.6212999,707.8674017,1509.775796,0.043719246,0.002452041,1.788019972,0.00482616,96.83598029,0,0.023832928,0.072677659,0.474392024,0.768661963,0.023764555,0,0.002782651,1.790802623,54188.17413,8.80E-06,7069.292843,298.9003377,71180.42937,1099.552793,19791.24261,25822.96504,9140.747984,3972.124215,1490.238011,730.7311565,17491.96221,7954.140266,200.9500576,888.5248234,43407.87306,0.000679512,0.000949991,-2.34E-06,-3.02E-06,0.03821249,0.039521576,0.021150358,64.53839956,0.018953938,-1.46E-05,15.87236601,1.118086463,8.14E-06,5.300086811,-0.263579959,0.000232224,0.008977109,5.855764478,0.404991664,0.089537913,46.17122533,1.567879736,0.006731571,0.002123723,17228.67712,4888.379506,70.96561095,28731.12123,41.64380354,7672.657842,12558.56521,258.1006181,3444.085348,146.1041317,437.9676239,3260.339598,1567.359924,559.7799847,30.33615848,18.16498748,1,465,1795.261819,1038.57163,17.07248147,28.22616532,10.03050274,199.9281092,24.31066952,51.45208293,381.7931455,44.61970046,53.70464636,24.46317933,17.63743964,46.54534923,116.63658,27.59827601,0.097827007,170.433329,1.640934704,1,60125
CUYUNI-MAZARUNI,Guyana,Cuyuni-Mazaruni,,,Cuyuni-Mazaruni,Guyana,Cuyuni-Mazaruni,,,,6.152835042,12826.91767,1575.566716,240.2896083,2566.637116,-1981.667637,297.6347449,-2658.989835,230.5678838,246.1017717,250.3931038,239.0670217,201.0442061,36.92472615,618.4832523,113.2506712,346.7290223,370.8799715,357.6754401,1046.833529,-2634.909464,-2082.814982,0.059366458,0.034445225,585.7373775,589.8832553,1168.574947,0.020698382,0.030771598,1.199819726,0.117165101,96.53073934,0.004018324,0.305977053,0.49534846,0.433668823,0.621152509,0.254266253,0.000666815,0.00363526,1.203454986,51474.15512,3.89E-05,6913.529241,360.8857381,88499.11338,1291.768352,21351.82481,25913.42155,9166.796428,3871.900359,1472.135885,801.3049126,17793.30905,7999.409191,223.3701145,885.0561553,57908.69942,0.001454395,0.003273549,-7.48E-06,-7.07E-06,0.011826572,0.01609548,0.009065536,335.1337547,-0.001753572,-3.22E-05,38.70640286,3.123566189,1.62E-05,12.18848858,-0.513174835,0.001166346,0.004114435,17.92092314,0.765222452,0.027962355,68.59274547,0.49092445,0,0.001030806,17049.45816,4624.154302,66.39057715,24270.90377,37.97331472,7574.897701,10940.70078,261.3809101,3240.831579,148.1163703,434.4457238,3132.673256,1579.664725,576.2817473,32.80160597,6.975865442,1,465,1893.171488,1248.006796,11.60834349,29.3275528,8.982102355,198.621691,21.78801573,28.47927858,317.9477219,37.1913444,47.13625961,22.15216933,14.8850723,47.43803036,114.9441416,27.6108866,0.043881679,171.2687258,0.700582324,1,60125
DEMERARA-MAHAICA,Guyana,Demerara-Mahaica,,,Demerara-Mahaica,Guyana,Demerara-Mahaica,,,,6.491570853,12601.2573,1681.20165,258.2598366,2222.594285,-2010.42493,304.1304833,-2674.184971,250.017843,260.9115347,267.8282527,256.7583491,225.7289304,39.39549584,492.1004332,94.13869615,289.9962325,317.5990457,309.3195154,902.4389478,-2653.098431,-2152.992622,1.074579526,0.282778078,679.59899,683.4718003,1428.621089,0.300617484,0.158949856,20.1461005,0.725197879,60.94044307,0.014873469,2.826879756,5.152212261,1.05476621,5.533624129,2.325565815,0,1.1138849,21.2599854,38516.66214,8.22E-06,7172.546984,676.7657598,192110.5049,2458.055284,31454.96678,27494.08859,9366.333392,3026.385489,1185.532138,1272.829548,20276.36047,8439.992049,365.1676691,724.1092836,151296.8462,-0.000186535,0.000355649,1.36E-06,1.00E-06,0.042568315,0.025184328,0.001841325,18.0717434,0.014659805,1.91E-07,6.748282891,0.479210311,1.56E-06,2.19234304,0.026125028,4.13E-05,0.151766818,1.841247567,0.305025972,9.325458034,644.8887319,159.6738985,0.000291487,0.474679819,9087.69365,3964.311163,55.25060488,20178.6265,26.14244202,6345.980733,8569.614851,494.5487204,3054.024516,274.2618633,609.1332513,3068.781576,1858.245387,833.7484925,14.90097858,42.92534541,1,465,1612.432804,1025.442416,18.19911812,28.44640362,4.400492181,199.9979667,25.08104682,44.43412955,380.5058865,43.81364886,54.33250228,28.27412629,18.43105743,49.23487599,59.45777352,16.88812613,0.288657969,79.41686129,9.206591761,1,60125
EAST BERBICE-CORENTYNE,Guyana,East Berbice-Corentyne,,,East Berbice-Corentyne,Guyana,East Berbice-Corentyne,,,,3.384175679,11894.08516,1616.630375,255.472577,2209.54014,-1986.741055,312.4278815,-2659.909302,248.4134886,265.08635,265.1577389,251.9813897,216.6072659,54.57605905,813.2607331,75.7148521,233.1735544,235.9351994,389.5581072,1081.266067,-2635.679383,-2162.779598,0.105611032,0.024263766,642.747599,646.9483469,1324.895905,0.034785185,0.00854909,2.66754998,0.023698695,96.08080132,0.000355911,0.117316233,0.315515916,0.216115584,0.260980911,0.278040497,0,0.028602644,2.696152624,42843.05286,9.21E-06,6567.624064,305.2654455,68710.20259,1066.243932,19143.43105,25435.10861,9097.48093,4125.01012,1571.69329,706.1444573,17083.409,7852.397797,195.264413,938.5638244,42100.13516,0.000544655,0.000902913,-3.23E-06,-2.48E-06,0.030677407,0.026617682,0.01563239,180.0849379,0.011785311,-2.60E-05,22.79590454,1.492028627,1.44E-05,7.858716392,-0.620640006,0.000422495,0.036230108,9.586789035,0.930701955,0.187229713,103.2974546,2.952308693,0.000437211,0.007087311,17491.36101,4974.370646,70.67904006,24427.52238,41.53869571,7806.023031,10050.07158,283.6685991,3393.632463,174.8679698,463.0300592,3338.41326,1794.162432,627.0625686,32.22249893,12.85437743,1,465,2491.686489,1267.696307,9.690750441,32.4259897,6.254127,199.9495079,21.80069594,24.63625781,214.4032139,28.37881605,46.66120701,19.25595792,13.97584213,46.00755629,125.6506136,29.25555594,0.041659892,186.3923696,2.184200418,1,60125
ESSEQUIBO ISLANDS-WEST DEMERARA,Guyana,Essequibo Islands-West Demerara,,,Essequibo Islands-West Demerara,Guyana,Essequibo Islands-West Demerara,,,,6.609122373,12097.07554,1673.886344,256.506665,2400.951127,-2023.847433,299.0586809,-2678.794464,248.0307713,252.6715405,265.9159376,255.1615857,225.3687164,37.31060059,488.0859291,103.2570334,317.3922535,395.8272375,333.5345741,976.6655302,-2657.810033,-2140.008235,0.50517085,0.126888202,679.3672356,682.9368413,1429.690919,0.164860748,0.079855602,10.95492387,0.019795369,82.44696742,0.023759634,0.340192911,0.538475275,2.755144445,2.397613658,0.352560529,0.000578511,0.084539145,11.03946302,51903.51385,9.59E-06,7411.312621,398.7888894,116934.1368,1454.867044,23644.11715,26087.90645,9218.44951,3704.939093,1416.157909,899.735156,18223.62171,8087.267437,252.8402879,859.3747732,76110.94392,0.001766334,0.000496489,3.57E-06,2.66E-06,0.027723139,0.109838597,0.051216433,35.86149778,0.006999811,-3.95E-06,14.7401942,1.122322055,6.97E-06,4.81338393,-0.032113199,0.000215014,0.03339987,5.495070799,0.332561113,2.194539164,180.5613964,37.58586342,0.000717075,0.063728525,13848.26394,4451.908657,61.08184292,23557.09674,32.60573248,6857.971665,9669.334251,372.7420354,3302.113773,216.2590765,532.972928,3115.033602,1634.09879,629.0965597,24.92511478,27.85752607,1,465,1924.951811,1014.323115,14.93208645,28.23694322,6.275313748,199.9848557,23.69126182,45.44446378,370.5575051,42.73950904,54.42239591,24.12272522,18.30756145,46.45338984,104.7107367,25.74961797,0.284918609,150.2301028,6.578790646,1,60125
MAHAICA-BERBICE,Guyana,Mahaica-Berbice,,,Mahaica-Berbice,Guyana,Mahaica-Berbice,,,,6.203824512,12052.51066,1717.181064,258.7902247,2027.804885,-2002.935059,306.2482079,-2671.496396,250.5643596,264.5596196,268.6365425,257.0695773,224.6749886,41.18642481,454.4126476,80.21667242,251.9637774,260.515382,285.1335875,830.7186873,-2649.926787,-2144.060081,0.110479211,0.052947712,664.2956914,668.3976938,1384.997635,0.169826176,0.130781867,16.01163436,0.756986176,63.82019455,0.006837536,2.761744575,5.430153415,1.362460756,7.298240641,2.34390473,0,0.047438284,16.05907265,36605.0657,6.77E-06,6832.75128,661.4849283,175595.2103,2458.761194,30381.51051,27278.56101,9351.705313,3087.295435,1222.479026,1226.319417,20069.48861,8404.228059,353.2877119,747.2489096,137098.2747,0.000368654,0.000368716,-1.17E-06,-1.62E-06,0.059063487,0.054774449,0.017507714,15.44663218,0.018147006,-4.85E-06,7.045974002,0.474920151,2.26E-06,2.277928797,-0.093549484,4.30E-05,0.201641553,1.789423422,0.370481875,0.822635281,382.3182653,12.93800417,0.003037058,0.034009171,10041.55755,3919.894152,57.02804877,20512.92185,27.41588306,6417.186558,8803.50698,491.8251435,2960.843621,275.7108068,614.4493602,2937.769935,1809.816077,789.6162101,13.7300807,43.76085669,1,465,1969.446735,992.9281186,18.70811338,27.96489765,4.014943546,199.9974134,25.04131149,48.0425282,372.5204225,43.47944451,55.31267904,27.70392681,18.87034283,49.08232781,50.12840825,14.32078727,0.349929421,66.8056921,4.93203233,1,60125
POMEROON-SUPENAAM,Guyana,Pomeroon-Supenaam,,,Pomeroon-Supenaam,Guyana,Pomeroon-Supenaam,,,,7.170136563,12356.9699,1691.712391,253.8102244,2463.287928,-1999.737279,298.8451676,-2673.816955,245.1553826,251.6039132,262.3998512,252.9128618,220.7488365,37.70029945,642.1971617,103.1622423,326.696905,383.0297677,338.1098316,990.9372065,-2653.403683,-2165.270233,0.44384372,0.083307772,692.1356702,695.0701222,1468.619192,0.108333598,0.003411942,4.462341927,0.01940091,93.18077139,0.012799678,0.082755399,0.206400398,0.471092476,1.197509433,0.334786537,0.000641103,0.024411693,4.48675362,57320.85347,8.14E-06,7039.267903,346.2118929,93590.02767,1199.867198,21405.0221,25858.41993,9152.793199,3908.305751,1482.113281,802.4117202,17665.01918,7969.966071,223.8121457,887.7858527,62123.41039,0.001558322,0.000667174,-1.43E-06,-1.18E-06,0.03316255,0.091914482,0.05227439,47.07576005,0.018665558,-1.17E-05,15.76989474,1.124096868,7.51E-06,5.242880564,-0.207052095,0.000187587,0.053580634,4.832188076,0.391904014,0.492226686,135.5136548,7.961844762,0.004410427,0.016405635,15208.003,4604.346758,65.72562801,25799.6001,37.02686872,7309.044126,10815.15253,296.2666559,3325.324966,171.2450095,467.302544,3161.636738,1570.518128,585.9754287,28.95877429,21.74112183,1,465,1890.866127,1086.979781,15.2384234,28.02947283,8.226827468,199.9966438,23.20393073,41.15247453,358.272321,41.50539648,52.11309015,23.45975925,17.09545584,46.425148,107.3398027,26.10365494,0.126409103,152.7708333,3.249163834,1,60125
POTARO-SIPARUNI,Guyana,Potaro-Siparuni,,,Potaro-Siparuni,Guyana,Potaro-Siparuni,,,,4.859767188,13578.9185,1540.507173,242.4377948,2267.240083,-1971.837358,300.6632273,-2658.331055,233.957856,250.1946697,252.6536649,239.139986,204.4640968,54.77066021,601.2426776,83.30819831,260.1218553,270.7489378,372.0873072,1084.799544,-2635.300871,-2107.512128,0.069397212,0.037953233,596.2013907,600.2567827,1197.77826,0.023245221,0.290022648,1.804012078,0.087313162,92.61043023,0.000572463,1.877096204,1.430659334,0.278311242,0.229821967,1.388653658,0,0.00171739,1.805729468,47559.47595,3.84E-05,6841.072544,427.7032876,113717.1728,1337.059949,23438.45038,26292.85516,9201.297306,3700.121253,1405.21142,887.0167818,18249.42408,8089.506688,248.3761072,842.6834476,78176.6206,0.003794372,0.000140977,-1.18E-05,-1.34E-05,-0.001773467,0.013695731,-0.002292088,370.6660515,-0.003515001,-4.54E-05,53.842254,4.50729716,2.16E-05,16.92394534,-0.713205962,0.001936621,0.009298192,21.59504109,1.898334051,0.033873462,70.36914992,0.560813559,0,9.83E-04,14447.73726,4544.536784,64.05458284,22127.80744,36.09222599,7482.35407,9936.992089,297.3921464,3191.360636,176.262651,451.274245,3147.076915,1700.666119,656.9419672,30.82734252,5.747868719,1,464,1510.631083,1249.615837,13.68933824,31.79435677,7.743742882,196.9204811,22.84142006,27.87666962,288.4778428,35.04656604,47.40945046,21.8743352,14.47909076,48.96405168,114.7909852,27.73624466,0.039613145,169.7044208,0.881548199,1,60124
UPPER DEMERARA-BERBICE,Guyana,Upper Demerara-Berbice,,,Upper Demerara-Berbice,Guyana,Upper Demerara-Berbice,,,,5.363867657,13092.72972,1635.988905,255.0691273,2368.419671,-1972.673582,311.9780548,-2659.485601,247.2854954,261.4651879,264.8908335,252.4777493,217.145154,43.50385051,542.8514007,99.2960552,312.4214573,324.1549683,348.0741655,1022.954568,-2636.667099,-2142.581571,0.058505357,0.028775361,650.7064823,654.8007089,1347.533249,0.043380661,0.04994445,4.729832202,0.037830063,91.60432614,0.001747174,0.717362055,0.728110814,0.596549164,0.624882076,0.842748058,0,0.066010075,4.795842277,46076.25195,7.46E-06,6922.048191,427.4141025,121315.7287,1359.747197,24542.95822,26483.64498,9227.890713,3570.571801,1364.257826,933.1391706,18555.28617,8146.935627,261.8049507,821.3660864,83712.88647,-0.000433414,0.000577747,3.66E-06,3.27E-06,0.027812566,-0.023099019,-0.015198501,77.8648736,0.01096681,-4.05E-06,20.76681738,1.643568082,8.82E-06,6.775414559,0.022675344,0.000344813,0.026779088,10.27441727,0.82335012,0.146696981,83.90379974,2.416642502,0,0.021543469,17544.9143,4725.484063,67.80722064,23360.00532,38.93187086,7543.732599,9754.638487,294.9292628,3299.045133,167.3796149,469.2938271,3252.336127,1707.882678,630.0350285,30.23425639,19.36633439,1,465,1870.386398,1229.127441,11.230001,25.87983563,6.317124954,199.9577336,20.03932643,29.03123799,282.3885886,34.35601394,47.27414991,18.66233628,14.9784894,45.3119617,117.859122,28.15652443,0.076711795,176.9565378,2.219057603,1,60125
UPPER TAKUTU-UPPER ESSEQUIBO,Guyana,Upper Takutu-Upper Essequibo,,,Upper Takutu-Upper Essequibo,Guyana,Upper Takutu-Upper Essequibo,,,,2.835996819,11085.90354,1553.638724,256.5950494,1953.755573,-1977.133566,312.9530472,-2656.567927,246.5520328,263.1511244,265.8919847,248.9959385,213.5790031,70.59141885,951.3693219,59.66291809,184.4779437,199.1131365,374.2777802,1086.127403,-2632.125959,-2077.877583,0.024305919,0.013910381,676.9140718,680.2618681,1424.356733,0.032744419,0.525137525,3.341073061,0.139017837,78.98890286,0.000875796,6.862689816,3.811449201,0.140673144,0.672790031,5.521417081,0,0,3.341073061,36256.945,1.62E-05,6960.537005,445.2333352,105276.8171,1408.526856,22711.56498,26081.87863,9181.210163,3805.525321,1455.699344,859.8750271,18033.84558,8036.734845,242.1075137,872.2108119,72441.77653,-0.000394233,0.000915184,-7.95E-06,-1.09E-05,0.042850379,-0.030955006,-0.011491171,223.7506192,0.017101736,-3.80E-05,31.96456368,2.446984548,1.89E-05,10.48594811,-0.681583487,0.001128527,0.055836919,14.11805444,1.164710458,0.029093975,192.8067234,0.546002128,0,6.55E-04,14133.32488,4513.87064,61.96140696,21151.71596,34.19774818,7158.840633,8966.313986,407.6594106,3245.098628,239.0143872,535.3319609,3322.586434,2018.721137,862.5108375,25.54454241,6.611006875,1,465,2498.986212,1322.983922,8.478856154,31.51333147,8.313933426,198.0313902,20.87941985,19.60931591,206.8764005,25.36127578,44.96458831,19.61935054,13.80050598,49.22123251,100.8922642,24.40675592,0.065217725,148.7097231,0.941186663,1,60125
BASRAH,Iraq,,Basrah,,Basrah,Iraq,Al-Basrah,,Basrah,,30.58357378,466.5549778,2976.845455,267.8871884,146.7423026,-2391.573052,464.1537603,-2597.961596,131.5256434,388.3259663,390.8354547,131.5256434,71.47077638,94.41367364,95.61274911,0.047711694,0.295423392,0.54643338,33.76504519,95.61274911,-2338.817016,6939.646729,0.092728068,0.087584157,339.412504,336.5098058,551.1315805,0.574889795,74.86828662,4.67264171,0.100700703,0,0.032275866,1.416399178,1.481085077,5.005814719,0.354102959,7.808701574,0,4.242086717,8.914728427,2747.145514,0,2539.775046,899.4522139,47048.10479,3044.928057,10735.7504,15286.57104,7082.168054,6804.230375,4625.50673,445.2039775,10210.64176,5047.903557,130.1859544,3759.363769,36787.49183,0.000143369,0.000224997,-3.56E-07,-3.30E-07,0.079040843,0.030591552,0.007029806,2.456023816,0.012743428,-5.48E-07,2.276814283,0.131177076,1.75E-07,0.737092501,-0.008122443,3.31E-06,0.000781332,5.730182239,0.638211619,81.68759403,1147.540209,1560.019585,0,1.847920201,466.3158074,671.7343177,12.86130909,1401.901509,2.030492194,971.1963613,128.857636,2235.118075,2677.178611,1230.510787,1839.660533,2826.217637,2966.74096,2547.735237,0.698511198,49.92992224,13,809,6940.138065,1436.526981,25.12218793,27.704339,7.308153893,199.8940361,22.49509595,12.62931698,110.6024976,13.94511424,42.77928396,30.80825373,14.11625411,77.10485884,0.299878044,0.818966228,0.381142307,2.199954041,29.31211977,13,81303
KIRKUK,Iraq,,Kirkuk,,Kirkuk,Iraq,At-Ta'mim,,Kirkuk,,35.48651241,1612.443721,2426.906424,213.8487869,459.1100553,-2406.6345,421.9070132,-2602.858637,81.85690123,349.2067612,349.2067612,82.4681838,26.09032483,83.57365958,233.9900789,0.081456052,0.36007766,0.36007766,81.67489401,234.2060207,-2335.683317,7157.24575,0.000166322,0.00021524,316.7309513,312.6227874,502.0298121,0.475861274,46.63947868,23.83487679,0,0,0,0.34596535,1.167782632,0.048145847,0.010618366,27.53720114,0,0.438124778,24.27300157,488.6013147,0,2660.586363,1137.166059,150358.3708,2286.44826,27621.09304,26809.27178,9289.065657,3403.179454,1329.443107,1094.422836,19434.98857,8259.875813,310.5099894,815.3724966,108979.9019,-0.005300231,-0.000405125,-5.19E-07,-7.64E-07,-0.255452268,-0.336459682,-0.163225532,339.9760827,-0.111644601,-4.69E-06,12.906362,1.080256341,2.58E-06,4.083353626,-0.072575084,0.000124865,0.105219549,20.43026739,0.27995886,17.33342766,5772.508521,318.3570683,0,0.08239582,439.0823544,1659.907622,21.98665338,2106.088464,3.954564101,2448.42757,906.8061001,1939.631428,3067.396223,885.8872677,1494.252953,3346.00616,3232.496761,2543.641584,2.020885323,30.0287713,8,739,4979.426341,1401.272876,24.27478221,26.94819608,7.782526715,199.927088,23.71210094,8.007452177,158.3405107,13.47404107,43.97962791,43.8079292,15.33878617,77.35716485,0.633700999,0.916684591,0.410297946,3.043879053,19.55487326,8,80812
ANBAR,Iraq,Al-Anbar,,,Al-Anbar,Iraq,Al-Anbar,,,,32.87797259,390.3708203,2795.110489,213.4324165,106.5455196,-2391.65994,397.6887517,-2606.111939,86.49651751,330.900134,332.1645512,99.35513921,28.65627178,80.86466191,47.8432857,0,0.06251723,0.067307025,18.19761107,52.25064141,-2362.467515,6367.171669,0.000414638,0.000422256,251.7109652,244.1479559,367.2957235,0.082957465,97.6370859,1.169634593,0.000645161,0.000654567,0.000766542,0.064365293,0.054994282,0.362717433,0.001543815,0.578443008,0,0.128291929,1.297926522,8.622049408,0,2139.463768,390.6906383,12875.03818,2998.486305,4467.799073,10234.49646,6264.500857,8225.687335,6102.418307,178.4334643,6192.016849,3607.609497,51.20082034,5132.395273,9423.792128,0.001486673,0.000670249,-4.81E-07,-7.73E-07,0.115778699,0.223222913,0.066889728,405.5400808,0.032429698,-2.49E-06,6.369249543,0.505804583,9.53E-07,2.044630702,-0.055857847,3.77E-05,0.000167129,24.29134002,0.067667994,0.962252041,621.9610472,21.39589064,0,0.047318362,142.2360626,971.0809123,21.1025286,932.6200424,3.588437135,1276.817301,229.5425389,3357.270706,4282.799012,1298.641793,2209.950971,4979.570723,5247.964903,4646.495885,0.052363088,32.2712018,13,830,12879.09596,1446.114888,15.13148205,11.42380845,1.866007742,199.9979045,10.24925131,2.553415588,11.36386571,2.433534488,40.95409746,11.09996696,14.47158603,79.91727422,0.258716359,0.981242892,0.021846866,2.295146076,4.767987755,13,81320
